id,user_created_time,user,user_description,user_followers_count,user_profile_location,tweet_geo_loc,tweets,likes,time
897115879,Mon Oct 22 09:02:48 +0000 2012,raisromley,Believe to Qada' and Qadar. Allah has written something beautiful for us. #YNWA 🇲🇾🌺,404,,,"RT @afifbahardin: Menghadiri Perasmian Sidang DUN Pulau Pinang ke-14 di Georgetown pagi ini 

#seberangjaya
#perikatannasional
#majubersama…",0,2022-05-27 10:49:12+00:00
44658749,Thu Jun 04 16:49:05 +0000 2009,afifbahardin,"Seberang Jaya Assemblyman, Deputy Information Chief BERSATU, @pemudanegara_my Yayasan Setia Negara Malaysia",13658,"Seberang Jaya, Permatang Pauh",,"Menghadiri Perasmian Sidang DUN Pulau Pinang ke-14 di Georgetown pagi ini 

#seberangjaya
#perikatannasional… https://t.co/z69f1lOCZI",2,2022-05-27 06:02:43+00:00
1425809160080269313,Thu Aug 12 13:19:42 +0000 2021,NurinHana10,"Noor Nurin Hana
Medical Sains PUSRAWI
23YRS.",43,,,RT @SrikandaMalaya: Perjuangan #MuhyiddinYassin untuk mewujudkan sebuah kerajaan yang bersih dan #berintegriti pastinya perlu melalui jalan…,0,2022-05-26 06:05:06+00:00
1247206618028105735,Mon Apr 06 16:56:56 +0000 2020,rosolwahid11,"Laman twitter rasmi Dato' Haji Rosol Wahid
- Ahli Parlimen Hulu Terengganu P038",707,,,"Tanpa pendekatan ini terutama kawalan harga dan subsidi kepada penternak ayam, pengguna perlu membayar harga yang j… https://t.co/dHWO2KkqrP",0,2022-05-25 08:29:52+00:00
1425809160080269313,Thu Aug 12 13:19:42 +0000 2021,NurinHana10,"Noor Nurin Hana
Medical Sains PUSRAWI
23YRS.",43,,,"RT @5UexTVqZKtyyZct: PEMIMPIN YG HEBAT BUKAN KERANA DARI BICARANYA 
TETAPI PEMIMPIN YANG HEBAT DAPAT DI LIHAT DARI KEPIMPINAN HASIL KERJA D…",0,2022-05-23 06:18:00+00:00
1425809160080269313,Thu Aug 12 13:19:42 +0000 2021,NurinHana10,"Noor Nurin Hana
Medical Sains PUSRAWI
23YRS.",43,,,"RT @5UexTVqZKtyyZct: PEMIMPIN YG HEBAT BUKAN KERANA DARI BICARANYA 
TETAPI PEMIMPIN YANG HEBAT DAPAT DI LIHAT DARI KEPIMPINAN HASIL KERJA D…",0,2022-05-23 06:17:54+00:00
1425809160080269313,Thu Aug 12 13:19:42 +0000 2021,NurinHana10,"Noor Nurin Hana
Medical Sains PUSRAWI
23YRS.",43,,,"RT @5UexTVqZKtyyZct: Hijau menguning padi di sawah
Tunduk berisi bagai nak rebah
Pendirian kukuh tidak goyah
Menghadap cabaran tidak gelaba…",0,2022-05-23 06:15:38+00:00
1425809160080269313,Thu Aug 12 13:19:42 +0000 2021,NurinHana10,"Noor Nurin Hana
Medical Sains PUSRAWI
23YRS.",43,,,"RT @5UexTVqZKtyyZct: ""Melangkah Terus demi Perjuangan""

#PerikatanNasional
#BersatuBahagianBatuGajah https://t.co/CkicxaLJZT",0,2022-05-23 06:15:19+00:00
285898481,Fri Apr 22 00:25:19 +0000 2011,momoktomok,"Enjoying his life with lots of food, taking photos, splurging the salary, and have a busy social life with friends and families. I am once a UM student. 👨🏽‍💻",559,"Bandar Kuala Lumpur, Wilayah P",,RT @NST_Online: #NSTnation The time has come for all to set aside their differences and place the national interest as the priority said #P…,0,2022-05-23 03:48:11+00:00
1430364813457182720,Wed Aug 25 03:02:11 +0000 2021,majoritionline,Refleksi Tanpa Prejudis. Itulah peranan Majoriti dalam membawa suara rakyat Malaysia.,226,,,"Gabung untuk PRU15? Bakal jadi saingan hebat nanti dengan parti lain

#majoriti
#politik
#ghz70307
#pakatanharapan… https://t.co/9UPXPuNa25",0,2022-05-22 10:15:05+00:00
44399149,Wed Jun 03 16:52:45 +0000 2009,RameshRaoAKS,"Presiden Pertubuhan Minda & Sosial Prihatin. 
#barisannasional 
#keluargamalaysia
#Najibrazak
#Bossku
#royalenfield
#Cfmoto650gt 

+60123560105",15216,"Petaling, Wilayah Persekutuan ",,@UMonline Ngaku jelah #Perikatannasional gagal!! Hahaha,4,2022-05-22 06:13:25+00:00
