id,user_created_time,user,user_description,user_followers_count,user_profile_location,tweet_geo_loc,tweets,likes,time
330170448,Wed Jul 06 06:27:51 +0000 2011,Fatengg_,'잘할거 아닙니다 놀다 옵시다',534,,,@yus_AtinySpirit Haa iyaa tu official keputusan dari mahkamah. Mahkamah yang charge dia 9 jenayah. 9 charges tapi 1… https://t.co/pO7ZhzoLDL,0,2022-05-26 03:58:44+00:00
4192564034,Tue Nov 10 17:34:10 +0000 2015,tshazwa_,Kim Soo Hyun's girlfriend ❤️,1684,,,"sebelum ni masa PH jadi kerajaan pun, ramai je menteri pegi overseas. datin wan azizah, anuar ibrahim etc. i don't… https://t.co/ZKRTUGBjag",0,2022-05-25 07:11:02+00:00
265544219,Sun Mar 13 18:47:09 +0000 2011,muzzashark,"I share random knowledge and i sell Coway for a living, Tap the link below you’re interested | DO CHECK OUT MY PINNED TWEET!! | 🇲🇾 | 🐺 | ♎️ |",4096,Sapiosexual,,RT @FarisAzizzz: Perhimpunan reformasi Anuar Ibrahim lagi ramai lah sial,0,2022-05-24 17:33:29+00:00
2162811744,Tue Oct 29 13:00:07 +0000 2013,FarisAzizzz,You’ll Never Walk Alone 🕊,512,"Green Valley Park, Rawang ",,Perhimpunan reformasi Anuar Ibrahim lagi ramai lah sial https://t.co/beUKKdnVD7,0,2022-05-24 17:26:46+00:00
361645099,Thu Aug 25 03:13:42 +0000 2011,AndPhillipMassa,#ChelseaFCFans #DRAGON 1 🐲🐉 #MesejPendekUntukAku #RumpunSilatSRWK #FANALIGARAR *12 #HIKMAHSARAWAK#KCHG #YINN☯️#Sarawak #Borneo #GARUDAKU #UNITEDMEMBERSTARHORE,481,"Kuching,Malaysia.",,"MAT SEMENANJUNG , WAJIB MENANTU CARI NAK WATAK USTAD JELMAAN DEPAN BAPAK MERTUA ! CARI LAH MENANTU YANG PANDAI BAGI… https://t.co/E4F0DUiq9Q",0,2022-05-24 14:44:33+00:00
1380418047576395776,Fri Apr 09 07:12:46 +0000 2021,ain50100,@aliaa08.Technology @Tesla.Diversity.Faith.Religion.Race Equal Right.Economy.Musician.Kid.Analyst.Freelancer Preacher.Writer.❎,178,,,Nampaknya melepas lagi Anuar Ibrahim jadi president.,0,2022-05-23 14:24:58+00:00
1494310919685689345,Thu Feb 17 14:01:37 +0000 2022,AnChinwang1,,0,,,"@MsiaChronicle Hope M.kini will stop using the word ""tin kosong"" to describe Anuar Ibrahim.Use other words.Use the… https://t.co/3zumXMNoie",0,2022-05-22 03:59:38+00:00
361645099,Thu Aug 25 03:13:42 +0000 2011,AndPhillipMassa,#ChelseaFCFans #DRAGON 1 🐲🐉 #MesejPendekUntukAku #RumpunSilatSRWK #FANALIGARAR *12 #HIKMAHSARAWAK#KCHG #YINN☯️#Sarawak #Borneo #GARUDAKU #UNITEDMEMBERSTARHORE,481,"Kuching,Malaysia.",,WORLDCHAMPIONSHIP POPDEYEL GUANFRIN AJARJIAN XENJON AFFARBUTICHALLY ASTUS URANUS KROYAN KONIN PARMATO SUKALA WARHOO… https://t.co/fqPKn99abc,1,2022-05-20 07:40:13+00:00
1409695876298076169,Tue Jun 29 02:11:24 +0000 2021,karimahamshah,,15,"Petaling Jaya, Selangor",,RT @AbdMalekHussin: Mahkamah Persekutuan tolak rayuan Rosmah Mansor kaitan rasuah projek solar sekolah2 luarbandar Sarawak. Keputusan ditet…,0,2022-05-27 16:06:31+00:00
1416237164510154753,Sat Jul 17 03:24:32 +0000 2021,MohdZaizul,Zaizul,40,,,RT @AbdMalekHussin: Mahkamah Persekutuan tolak rayuan Rosmah Mansor kaitan rasuah projek solar sekolah2 luarbandar Sarawak. Keputusan ditet…,0,2022-05-27 16:01:31+00:00
